wavelength,ad,ag,aph
440,0.001309,0.00147,0.001378
440,0.001798,0.003016,0.001994
440,0.001563,0.003438,0.00212
440,0.003122,0.003832,0.002611
440,0.001243,0.002659,0.002756
440,0.00274,0.003718,0.002879
440,0.001273,0.001901,0.00306
440,0.001638,0.005338,0.003076
440,0.001766,0.004855,0.003137
440,0.002967,0.006682,0.003643
440,0.005047,0.008812,0.003847
440,0.001635,0.007613,0.00408
440,0.00548,0.006724,0.004304
440,0.001711,0.003284,0.004466
440,0.001741,0.010516,0.004621
440,0.001779,0.000218,0.001524
440,0.000915,0.001025,0.001764
440,0.003225,0.001423,0.001886
440,0.0012,0.002684,0.001803
440,0.001622,0.001202,0.001906
440,0.001844,0.00254,0.00195
440,0.000833,0.002269,0.001953
440,0.000454,0.000584,0.001987
440,0.001313,0.002626,0.002007
440,0.00111,0.001832,0.002058
440,0.00157,0.001869,0.002161
440,0.000504,0.001336,0.002203
440,0.00234,0.003749,0.002146
440,0.000888,0.001817,0.002208
440,0.002899,0.002038,0.002285
440,0.000356,0.003499,0.002285
440,0.002412,0.003051,0.002307
440,0.001624,0.001162,0.002304
440,0.001478,0.002434,0.002332
440,0.002445,0.002873,0.002348
440,0.002373,0.00216,0.002356
440,0.001256,0.003106,0.002349
440,0.001255,0.001114,0.00237
440,0.000557,0.00132,0.002379
440,0.002833,0.004248,0.002403
440,0.000685,0.002125,0.001828
440,0.002156,0.00248,0.00191
440,0.001344,0.001147,0.002262
440,0.001856,0.003618,0.002795
440,0.002574,0.001692,0.002844
440,0.000599,0.001441,0.002693
440,0.004008,0.003592,0.002777
440,0.003693,0.002701,0.002812
440,0.000478,0.002992,0.003244
440,0.002812,0.003596,0.003093
440,0.001163,0.003763,0.003361
440,0.003329,0.00189,0.003425
440,0.003632,0.005549,0.003427
440,0.002293,0.006433,0.003881
440,0.001461,0.008221,0.003854
440,0.002766,0.007356,0.003889
440,0.000848,0.009215,0.003986
440,0.00358,0.00249,0.004065
440,0.004464,0.002964,0.004056
440,0.004202,0.008818,0.004292
440,0.010653,0.031017,0.00983
440,0.008531,0.015722,0.009001
440,0.002675,0.011402,0.006356
440,0.00552,0.017968,0.007687
440,0.002125,0.005505,0.006051
440,0.004149,0.021554,0.009365
440,0.006764,0.01404,0.0085
440,0.006137,0.007223,0.007121
440,0.008097,0.009498,0.007242
440,0.005407,0.016941,0.008713
440,0.010473,0.005573,0.007219
440,0.00381,0.021916,0.008889
440,0.006054,0.012678,0.006868
440,0.006665,0.001713,0.007442
440,0.006977,0.010339,0.006554
440,0.002222,0.00717,0.007351
440,0.011282,0.01689,0.008189
440,0.002026,0.005062,0.007618
440,0.003033,0.020924,0.00792
440,0.005834,0.006763,0.006795
440,0.008254,0.016971,0.007603
440,0.004958,0.005497,0.009633
440,0.001864,0.00312,0.005541
440,0.003531,0.025674,0.009437
440,0.006558,0.01037,0.006732
440,0.005983,0.011167,0.005781
440,0.004765,0.013769,0.005936
440,0.003871,0.02319,0.00827
440,0.002886,0.008443,0.005051
440,0.005269,0.015409,0.008441
440,0.002874,0.009816,0.006638
440,0.003022,0.009731,0.006239
440,0.001917,0.0167,0.007785
440,0.001107,0.018908,0.007314
440,0.003321,0.008171,0.007078
440,0.00607,0.015296,0.008018
440,0.004466,0.020802,0.007233
440,0.000769,0.013444,0.005228
440,0.00533,0.004928,0.005656
440,0.005837,0.01503,0.007081
440,0.003897,0.005892,0.006508
440,0.003035,0.021426,0.008056
440,0.00627,0.009288,0.008331
440,0.003493,0.014476,0.007284
440,0.007986,0.018569,0.008377
440,0.001838,0.012533,0.005195
440,0.003784,0.016201,0.006353
440,0.005734,0.00551,0.00738
440,0.004743,0.001791,0.005138
440,0.00138,0.004431,0.005704
440,0.005646,0.002657,0.005735
440,0.006917,0.003629,0.008286
440,0.006883,0.003955,0.005026
440,0.001573,0.001787,0.005066
440,0.00492,0.00939,0.005696
440,0.005599,0.014941,0.006983
440,0.007554,0.036479,0.013072
440,0.016281,0.04815,0.012294
440,0.001933,0.010943,0.014395
440,0.011694,0.008773,0.013086
440,0.01155,0.010033,0.01358
440,0.009507,0.01783,0.011769
440,0.007985,0.02792,0.010009
440,0.0023,0.003911,0.012685
440,0.012193,0.024274,0.012989
440,0.009194,0.034732,0.010944
440,0.006883,0.033111,0.009834
440,0.005377,0.011368,0.011083
440,0.008309,0.032356,0.012497
440,0.002623,0.016585,0.012596
440,0.007285,0.001759,0.011379
440,0.007084,0.029931,0.012222
440,0.0075,0.042239,0.011394
440,0.001207,0.028712,0.012636
440,0.013155,0.026335,0.013021
440,0.014134,0.043989,0.014153
440,0.017452,0.016949,0.012796
440,0.009638,0.03276,0.01302
440,0.013332,0.034337,0.010055
440,0.008897,0.029019,0.010429
440,0.006742,0.015076,0.013226
440,0.003223,0.013337,0.010305
440,0.011897,0.027142,0.010165
440,0.006383,0.017656,0.010558
440,0.009612,0.027958,0.010045
440,0.005049,0.019038,0.010949
440,0.006916,0.025523,0.010793
440,0.006046,0.048321,0.013709
440,0.017995,0.04745,0.014336
440,0.004683,0.023325,0.013501
440,0.012932,0.013142,0.013161
440,0.004342,0.027159,0.012694
440,0.004233,0.029375,0.011802
440,0.00772,0.006271,0.010198
440,0.00832,0.033699,0.012782
440,0.010448,0.039223,0.01377
440,0.008984,0.006961,0.012117
440,0.003358,0.009608,0.013535
440,0.012506,0.042612,0.011789
440,0.006495,0.028842,0.010677
440,0.012539,0.010917,0.012994
440,0.002331,0.020258,0.010322
440,0.012853,0.025604,0.011177
440,0.011068,0.019947,0.011087
440,0.010871,0.023231,0.012496
440,0.012695,0.033494,0.011559
440,0.006112,0.037318,0.010938
440,0.010492,0.030827,0.011175
440,0.003866,0.029336,0.009944
440,0.014183,0.029102,0.014286
440,0.00947,0.030759,0.011669
440,0.014621,0.024383,0.013202
440,0.012063,0.01401,0.010578
440,0.004993,0.012775,0.010805
440,0.011849,0.016924,0.010665
440,0.005966,0.041756,0.011656
440,0.012649,0.049064,0.013391
440,0.009779,0.02566,0.009899
440,0.001258,0.016102,0.010837
440,0.00659,0.047326,0.012655
440,0.008634,0.046644,0.012189
440,0.010654,0.032493,0.010056
440,0.007448,0.016355,0.011939
440,0.010014,0.020097,0.011613
440,0.007365,0.012407,0.012636
440,0.008727,0.041635,0.011009
440,0.007057,0.036883,0.010384
440,0.007775,0.007767,0.010147
440,0.005962,0.022424,0.010853
440,0.009133,0.040525,0.011013
440,0.014039,0.043978,0.01359
440,0.003664,0.028872,0.010651
440,0.012059,0.025788,0.014771
440,0.008993,0.019424,0.019334
440,0.015676,0.010757,0.017655
440,0.016924,0.048478,0.016618
440,0.014418,0.072747,0.017302
440,0.01637,0.068069,0.01719
440,0.01035,0.060529,0.018202
440,0.013748,0.05894,0.016588
440,0.014381,0.062623,0.015347
440,0.009435,0.013869,0.015637
440,0.015159,0.053974,0.015728
440,0.01211,0.00493,0.017005
440,0.01576,0.057497,0.015629
440,0.003983,0.043038,0.015072
440,0.013568,0.025125,0.01632
440,0.021032,0.064384,0.017886
440,0.006097,0.014298,0.017483
440,0.005619,0.043165,0.018428
440,0.00417,0.074736,0.019018
440,0.014217,0.025504,0.017187
440,0.010689,0.054904,0.019081
440,0.011826,0.066174,0.017679
440,0.013377,0.053723,0.018887
440,0.005756,0.021893,0.014961
440,0.012015,0.048149,0.015536
440,0.021276,0.019816,0.019072
440,0.013663,0.087651,0.019097
440,0.016208,0.01839,0.016366
440,0.00348,0.039468,0.015896
440,0.00372,0.053643,0.01514
440,0.008763,0.059112,0.014843
440,0.01146,0.086931,0.019236
440,0.005531,0.053627,0.0156
440,0.005598,0.074393,0.018477
440,0.01177,0.04866,0.019385
440,0.007123,0.062445,0.015877
440,0.003066,0.007697,0.018027
440,0.00616,0.060878,0.017755
440,0.011694,0.030512,0.01755
440,0.013665,0.056339,0.015987
440,0.017152,0.027653,0.017457
440,0.003468,0.070499,0.015694
440,0.026915,0.079464,0.028415
440,0.00614,0.057621,0.024146
440,0.029094,0.078403,0.029027
440,0.015401,0.090355,0.022246
440,0.026573,0.070571,0.025788
440,0.007967,0.092041,0.02196
440,0.017439,0.093926,0.027585
440,0.020537,0.121279,0.026887
440,0.015533,0.117697,0.025696
440,0.021544,0.082125,0.02692
440,0.018451,0.009232,0.022847
440,0.013641,0.07627,0.022907
440,0.023921,0.0954,0.022583
440,0.0249,0.091371,0.024137
440,0.019222,0.11399,0.023176
440,0.01273,0.118228,0.027575
440,0.007184,0.073687,0.019981
440,0.010661,0.063948,0.01986
440,0.011459,0.129305,0.025022
440,0.01802,0.131192,0.025507
440,0.016517,0.017609,0.02359
