wavelength,spectrum,a_nw,bb_nw,Rrs,aw,bbw,a,bb
442.5,1,3.59E-01,1.16E-02,0.00168561,6.93E-03,2.45E-03,3.66E-01,1.40E-02
442.5,2,2.16E-01,1.43E-02,0.00357462,6.93E-03,2.45E-03,2.23E-01,1.68E-02
442.5,3,5.13E-01,6.16E-02,0.006347099,6.93E-03,2.45E-03,5.20E-01,6.41E-02
442.5,4,8.31E-02,7.62E-03,0.005422409,6.93E-03,2.45E-03,9.00E-02,1.01E-02
442.5,5,2.18E+00,5.39E-02,0.001080185,6.93E-03,2.45E-03,2.18E+00,5.63E-02
442.5,6,1.06E+00,2.20E-01,0.011385945,6.93E-03,2.45E-03,1.07E+00,2.23E-01
442.5,7,5.65E-02,3.15E-03,0.004142803,6.93E-03,2.45E-03,6.34E-02,5.60E-03
442.5,8,1.27E-01,4.64E-03,0.002417723,6.93E-03,2.45E-03,1.33E-01,7.09E-03
442.5,9,1.29E+00,1.33E-01,0.005233015,6.93E-03,2.45E-03,1.29E+00,1.36E-01
442.5,10,7.76E-02,7.12E-03,0.005463789,6.93E-03,2.45E-03,8.46E-02,9.58E-03
442.5,11,4.88E-01,4.07E-02,0.004161902,6.93E-03,2.45E-03,4.95E-01,4.32E-02
442.5,12,2.35E-01,2.54E-02,0.005763,6.93E-03,2.45E-03,2.42E-01,2.79E-02
442.5,13,5.93E-02,7.75E-03,0.007648987,6.93E-03,2.45E-03,6.62E-02,1.02E-02
442.5,14,4.54E-01,3.49E-02,0.003881789,6.93E-03,2.45E-03,4.61E-01,3.74E-02
442.5,15,4.23E-01,2.95E-02,0.003501409,6.93E-03,2.45E-03,4.29E-01,3.20E-02
442.5,16,2.58E-01,1.58E-02,0.003224797,6.93E-03,2.45E-03,2.65E-01,1.83E-02
442.5,17,1.97E-01,1.44E-02,0.00396455,6.93E-03,2.45E-03,2.04E-01,1.68E-02
442.5,18,2.92E-01,1.60E-02,0.002835186,6.93E-03,2.45E-03,2.98E-01,1.84E-02
442.5,19,1.45E-01,5.05E-03,0.002228647,6.93E-03,2.45E-03,1.52E-01,7.50E-03
